/home/alex/git/intfeat/.venv/lib/python3.12/site-packages/joblib/_multiprocessing_helpers.py:44: UserWarning: [Errno 13] Permission denied.  joblib will operate in serial mode
  warnings.warn("%s.  joblib will operate in serial mode" % (e,))

===== Variant: baseline_winner =====
Loaded rows [0, 1000000) in 21.1s
Loaded rows [1000000, 1200000) in 5.2s
Tuning rows: train=1000000 val=200000 (full train=1000000, full val=200000)
[I 2026-02-11 09:53:25,647] A new study created in RDB with name: criteo_1m200k_transfer_uvalley_fixed_baseline_winner
Study 'criteo_1m200k_transfer_uvalley_fixed_baseline_winner': completed_before=0, target=100, running_now=100
/home/alex/git/intfeat/.venv/lib/python3.12/site-packages/torch/cuda/__init__.py:182: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 11040). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at /pytorch/c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
[I 2026-02-11 11:02:54,060] Trial 31 finished with value: 0.45879181650484613 and parameters: {'lr': 0.0014515556706742483, 'weight_decay': 2.144326899149452e-06}. Best is trial 31 with value: 0.45879181650484613.
[I 2026-02-11 11:05:01,367] Trial 32 finished with value: 0.46296959373715946 and parameters: {'lr': 0.003036032262967421, 'weight_decay': 3.124588752070472e-05}. Best is trial 31 with value: 0.45879181650484613.
[I 2026-02-11 11:07:09,114] Trial 33 finished with value: 0.4607518857109659 and parameters: {'lr': 0.0004967952377117483, 'weight_decay': 2.5366143467820803e-07}. Best is trial 31 with value: 0.45879181650484613.
[I 2026-02-11 11:09:16,082] Trial 34 finished with value: 0.45923374780876897 and parameters: {'lr': 0.0013492878645086884, 'weight_decay': 8.84567493554574e-06}. Best is trial 31 with value: 0.45879181650484613.
[I 2026-02-11 11:11:25,576] Trial 35 finished with value: 0.48225655563939857 and parameters: {'lr': 0.0019018227886395823, 'weight_decay': 0.0015050950627879909}. Best is trial 31 with value: 0.45879181650484613.
[I 2026-02-11 11:13:31,507] Trial 36 finished with value: 0.45920765071281916 and parameters: {'lr': 0.0009222506958426179, 'weight_decay': 6.678263442088363e-07}. Best is trial 31 with value: 0.45879181650484613.
[I 2026-02-11 11:15:40,231] Trial 37 finished with value: 0.4676062500878087 and parameters: {'lr': 0.0038119385117247676, 'weight_decay': 1.1007430839694755e-07}. Best is trial 31 with value: 0.45879181650484613.
[I 2026-02-11 11:17:47,601] Trial 38 finished with value: 0.46251111806724976 and parameters: {'lr': 0.00027366997204197804, 'weight_decay': 5.701479261437993e-05}. Best is trial 31 with value: 0.45879181650484613.
[I 2026-02-11 11:19:54,349] Trial 39 finished with value: 0.4625487748824223 and parameters: {'lr': 0.00015946324834034258, 'weight_decay': 2.5665046381135304e-06}. Best is trial 31 with value: 0.45879181650484613.
[I 2026-02-11 11:22:01,478] Trial 40 finished with value: 0.46055080169751794 and parameters: {'lr': 0.0007453250403273535, 'weight_decay': 1.0981298583827878e-05}. Best is trial 31 with value: 0.45879181650484613.
[I 2026-02-11 11:24:09,329] Trial 41 finished with value: 0.45882292969381905 and parameters: {'lr': 0.001492449287130743, 'weight_decay': 2.4158936136839974e-06}. Best is trial 31 with value: 0.45879181650484613.
[I 2026-02-11 11:26:16,753] Trial 42 finished with value: 0.4588860351399321 and parameters: {'lr': 0.001604503354879081, 'weight_decay': 8.44125332322559e-07}. Best is trial 31 with value: 0.45879181650484613.
[I 2026-02-11 11:28:25,601] Trial 43 finished with value: 0.46017617798014243 and parameters: {'lr': 0.0023614670011605993, 'weight_decay': 6.695577224336272e-06}. Best is trial 31 with value: 0.45879181650484613.
[I 2026-02-11 11:30:34,271] Trial 44 finished with value: 0.4588211294515608 and parameters: {'lr': 0.0012053405091273488, 'weight_decay': 1.4986860640575663e-07}. Best is trial 31 with value: 0.45879181650484613.
[I 2026-02-11 11:32:42,782] Trial 45 finished with value: 0.4596180829167685 and parameters: {'lr': 0.0007716363330247805, 'weight_decay': 2.411768544767175e-07}. Best is trial 31 with value: 0.45879181650484613.
[I 2026-02-11 11:34:50,780] Trial 46 finished with value: 0.4587772957686348 and parameters: {'lr': 0.0014456913519551883, 'weight_decay': 1.8047036171746008e-06}. Best is trial 46 with value: 0.4587772957686348.
[I 2026-02-11 11:36:57,697] Trial 47 finished with value: 0.45888142319761266 and parameters: {'lr': 0.0016149017307285564, 'weight_decay': 2.0300879985094587e-06}. Best is trial 46 with value: 0.4587772957686348.
[I 2026-02-11 11:39:04,091] Trial 48 finished with value: 0.46176712668194175 and parameters: {'lr': 0.002898786100200007, 'weight_decay': 3.1822140164744446e-06}. Best is trial 46 with value: 0.4587772957686348.
[I 2026-02-11 11:41:10,819] Trial 49 finished with value: 0.46021397941303815 and parameters: {'lr': 0.0020219450031240776, 'weight_decay': 1.5441940775620228e-05}. Best is trial 46 with value: 0.4587772957686348.
[I 2026-02-11 11:43:18,073] Trial 50 finished with value: 0.4588455302825339 and parameters: {'lr': 0.0014433998405620815, 'weight_decay': 4.3693007830602813e-07}. Best is trial 46 with value: 0.4587772957686348.
[I 2026-02-11 11:45:24,767] Trial 51 finished with value: 0.4587686703781557 and parameters: {'lr': 0.0011870267933513736, 'weight_decay': 1.4595329197341767e-06}. Best is trial 51 with value: 0.4587686703781557.
[I 2026-02-11 11:47:31,654] Trial 52 finished with value: 0.45880269210389424 and parameters: {'lr': 0.0011478531471329834, 'weight_decay': 1.7483422223745579e-06}. Best is trial 51 with value: 0.4587686703781557.
[I 2026-02-11 11:49:39,012] Trial 53 finished with value: 0.45876748605967244 and parameters: {'lr': 0.0012333117384492444, 'weight_decay': 1.739505823441234e-06}. Best is trial 53 with value: 0.45876748605967244.
[I 2026-02-11 11:51:45,321] Trial 54 finished with value: 0.4593104729765946 and parameters: {'lr': 0.0009350819346273914, 'weight_decay': 1.563306492278122e-07}. Best is trial 53 with value: 0.45876748605967244.
[I 2026-02-11 11:53:53,107] Trial 55 finished with value: 0.4587574111925205 and parameters: {'lr': 0.001246654493315837, 'weight_decay': 6.746389241719385e-07}. Best is trial 55 with value: 0.4587574111925205.
[I 2026-02-11 11:56:01,109] Trial 56 finished with value: 0.4602824142908584 and parameters: {'lr': 0.002335312077289365, 'weight_decay': 1.2966283671351599e-06}. Best is trial 55 with value: 0.4587574111925205.
[I 2026-02-11 11:58:09,158] Trial 57 finished with value: 0.46062674749442084 and parameters: {'lr': 0.0006431873710461327, 'weight_decay': 5.64698967387081e-06}. Best is trial 55 with value: 0.4587574111925205.
[I 2026-02-11 12:00:17,893] Trial 58 finished with value: 0.45909483047026967 and parameters: {'lr': 0.0018114460303909985, 'weight_decay': 7.019431632004513e-07}. Best is trial 55 with value: 0.4587574111925205.
